Domain,Complaint/ Opinion,Complaint Label,Severity level,Sentiment,Emotion
Transaction Fail,"Can someone tell me if transaction fail between merchant and Bank due to biller issue who responsibilty to contact biller?
A bank, A merchant or customer?
@ICICIBank_Care @forum_consumer @billdesk 

#bank #transaction #money #icicibank",1,No explicit reproach,negative,sadness
Transaction Fail,"@LICIndiaForever @Paytmcare @Paytm As part of my LIC premium renewal my balance deducted but payment status shows fail. I have used LIC website where my payment gateways is Paytm. 
Transaction ID-  31454836
Kindly address.",1,No explicit reproach,negative,sadness
Transaction Fail,"@ICICIBank_Care This is something very serious nd urgent, i m not able to use imobile app and not able to do any transaction. Urgent solution is required",1,No explicit reproach,negative,anger
Transaction Fail,"@RBI @ICICIBank_Care @ICICIBank @CRED_support @TheOfficialSBI @SBICard_Connect One payment was made with my consent, the another payment seems a fraud transaction both goes to Cred Club.
@CRED_club 
@kunalb11 
@ICICIBank 
@ICICIBank_Care",1,Blame,negative,anger
Transaction Fail,"Fraud transaction through CRED for SBI C-Card payment from ICICI Saving account(net banking).
Wondering how double payment made for the same cc bill without OTP verification. 

Amount: 106576.00

@RBI @ICICIBank_Care @ICICIBank @CRED_support @TheOfficialSBI @SBICard_Connect https://t.co/zsFcu2k9pt",1,Accusation,negative,surprise
Transaction Fail,@CapitalFloat @ICICIBank @ICICIBank_Care I already made a payment to Capital float a day before the due date and amount was debited from my account successfully and I also got a confirmation email from Amazon with transaction details. Today again Capital float tried to suck my AC https://t.co/oOXJl5GnNg,1,Accusation,negative,anger
Transaction Fail,"@ICICIBank_Care But why the sms says it's from ICICI ? Has someone internally sent this ?
I have blocked my card and already there is some transaction taken place which is disputed",1,Accusation,negative,sadness
Transaction Fail,"Even after assurance they have not sent any account statement to me for this transaction period. Please look into the matter..
@RBI @ICICIBank_Care @ICICIBank @FinMinIndia @nsitharaman",1,Accusation,negative,sadness
Transaction Fail,@ICICIBank_Care We continue mail to you or call customer care but there are no response. My transaction is 549/- we late have paid in next. Unnecessary late fee charges imposed in my statement. Kindly close my credit card immediately.,1,Accusation,negative,anger
Transaction Fail,"@ICICIBank @ICICIBank_Care I'm unable to make any transaction using my credit card it states ""card withheld for security reasons "". I've called customer care 3 times everybody says within 30 mins card will be activated whenever I try again I'm facing the same error. Check this",1,No explicit reproach,negative,sadness
Transaction Fail,The all 3 transaction are successful even in my transaction history it shows only 1 transaction. Even I don't get any message for transaction. Worst service by Icici Bank @ICICIBank @ICICIBank_Care @dkalra81 @Anirudh_Astro @AnilSinghvi_,1,Accusation,negative,anger
Transaction Fail,@lClClBankcare2 @ICICIBank_Care ...sorry about your team but they replied saying they can't check and help me with the transaction if I do not download the imobile app. That's a bit strange.,1,Accusation,negative,surprise
Transaction Fail,@ICICIBank @ICICIBank_Care reversal of transaction awaited SR No SR798322808. NOW NEW YEAR STARTED IS IT POSSIBLE THIS YEAR,1,Accusation,negative,sadness
